Key,en,ar,he
OS_MAP_P56_DESC,"The Technical University of Munich (TUM) is one of
the highest ranked universities in Europe, and the
Department of Informatics one of the largest
computer science departments in Germany, with a
long tradition of industry collaboration. In HBP,
TUM leads development of the NeuroRobotics
Platform, compliant neurorobotics, and behavioral
architectures.","تم تصنيف جامعة ميونخ التقنية كواحدة من أفضل
الجامعات في أوروبا. يُعّد قسم المعلوماتية الخاص بها
أحد أكبر الأقسام من بين أقسام علوم الكمبيوتر في
ألمانيا ولديها تقاليد عريقة في التعاون مع صناعة الكمبيوتر.
كجزء من مشروع الدماغ البشري، تقود الجامعة تطوير منصة
الروبوتات العصبية ومجالات الروبوتات العصبية السلوكية
والهندسة المعمارية السلوكية.","האוניברסיטה הטכנית של מינכן מדורגת כאחת
האוניברסיטאות הטובות באירופה. מחלקת האינפורמטיקה
שלה היא אחת הגדולות בין מחלקות מדעי המחשב בגרמניה,
ויש לה מסורת ממושכת של שיתופי פעולה עם תעשיית המחשבים.
במסגרת פרויקט המוח האנושי האוניברסיטה מובילה את
פיתוח פלטפורמת הנוירו-רובוטיקה ואת תחומי הנוירו-רובוטיקה
ההַתְאָמָתִית והארכיטקטורה ההתנהגותית."
OS_MAP_P57_NAME,Tel Aviv University,جامعة تل ابيب,אוניברסיטת תל אביב
OS_MAP_P57_CITY,"Tel Aviv, Israel",تل ابيب، اسرائيل,"תל אביב, ישראל"
OS_MAP_P57_DESC,"Tel Aviv University (TAU) is a leading,
comprehensive academic institution that offers
almost all areas of science on one campus. In HBP
TAU holds the vice chairmanship for medical
informatics and is responsible for the development
of statistical methodology in the project,
alongside its application in clinical research.","جامعة تل أبيب هي مؤسسة أكاديمية رائدة وشاملة
تدرس جميع مجالات العلوم تقريبًا في حرم اكاديمي واحد.
تترأس ممثلة جامعة تل أبيب في HBP  منصب نائبة
رئيس وحدة المعلوماتية الطبية وهي مسؤولة عن تطوير
المنهجية الإحصائية في المشروع، الى جانب تطبيقها
في البحث السريري.","אוניברסיטת תל אביב היא מוסד אקדמי מוביל ומקיף,
המציע כמעט את כל תחומי המדע בקמפוס אחד.
נציגת אוניברסיטת תל אביב מכהנת ב-HBP כסגנית
יו""ר ביחידה לאינפורמטיקה רפואית ואחראית על פיתוח
המתודולוגיה הסטטיסטית בפרויקט, לצד היישום
שלה במחקר קליני."
OS_MAP_P59_NAME,"The Chancellor, Masters and Scholars of the University of Oxford",جامعة أكسفورد,אוניברסיטת אוקספורד
OS_MAP_P59_CITY,"Oxford, United Kingdom",أكسفورد، إنجلترا,"אוקספורד, אנגליה"
OS_MAP_P60_NAME,Hebrew University of Jerusalem,الجامعة العبرية في القدس,האוניברסיטה העברית בירושלים
OS_MAP_P60_CITY,"Jerusalem, Israel",القدس، اسرائيل,"ירושלים, ישראל"
OS_MAP_P60_DESC,"Idan Segev’s team involved with the HBP is located
at the new Edmond and Lily Safra Center for Brain
Sciences (ELSC), at the Hebrew University of
Jerusalem. ELSC encompasses a powerful computer
cluster for large-scale simulations and the
prestigious Ph.D. program in Neural Computation
(100 multidisciplinary students).","يعمل فريق عيدان سيغيف المسؤول عن الـ- HBP  في مركز علوم
الدماغ على اسم إدموند وليلي صفرا، في الجامعة العبرية
في القدس. يحتوي المركز على أجهزة كمبيوتر قوية لإجراء
عمليات محاكاة واسعة النطاق، ويتضمن مسارا متميزاً للقب
الثالث الاكاديمي (دكتوراه) في برنامج
الحوسبة العصبية (100 طالب أكاديمي من خلفيات
متعددة التخصصات).","הצוות של עידן שגב המעורב ב- HBP  ממוקם במרכז למדעי
המוח ע""ש אדמונד ולילי ספרא, באוניברסיטה העברית בירושלים.
במרכז פועלים מחשבים רבי עוצמה עבור סימולציות בקנה
מידה גדול, והוא כולל מסלול דוקטורט יוקרתי בתוכנית
לחישוביות עיצבית (100 סטודנטים מרקעים רב תחומיים)."
OS_MAP_P61_NAME,University of Aberdeen,جامعة أبردين,אוניברסיטת אברדין
OS_MAP_P61_CITY,"Aberdeen, United Kingdom",أبردين، المملكة المتحدة,"אברדין, בריטניה"
OS_MAP_P62_NAME,University of Edinburgh,جامعة ادنبره,אוניברסיטת אדינבורו
OS_MAP_P62_CITY,"Edinburgh, United Kingdom",ادنبره، المملكة المتحدة,"אדינבורו, בריטניה"
OS_MAP_P63_NAME,University of Manchester,جامعة مانشستر,אוניברסיטת מנצ'סטר
OS_MAP_P63_CITY,"Manchester, United Kingdom",مانشستر، المملكة المتحدة,"מנצ'סטר, בריטניה"
OS_MAP_P63_DESC,"The University of Manchester, based in the world’s
first industrial city, has been host to 25 Nobel
Laureates and Alan Turing, seen the atom split,
the birth of the modern computer, and the
discovery of graphene. Within the HBP it hosts
SpiNNaker, the world’s largest neuromorphic
computing platform.","تقع جامعة مانشستر في أول مدينة صناعية في العالم.
من بين الأشخاص الذين عملوا فيها كان آلان
تيورينغ و 25 من الحائزين على جائزة نوبل، حيث
تم فيها إجراء الانشطار الذري، وولد أول كمبيوتر حديث
واكتشف الغرافين. في نطاق ""مشروع الدماغ البشري"" يتم تطوير
في الجامعة ""سبيناكر- SpiNNaker""، أكبر منصة حوسبة عصبية
في العالم، مستوحاة من نشاط الدماغ.","אוניברסיטת מנצ'סטר ממוקמת בעיר התעשייתית הראשונה
בעולם. בין היתר עבדו בה אלן טיורינג ו- 25 חתני
פרס נובל, התבצע בה ביקוע האטום, נולד המחשב
המודרני הראשון והתגלה הגרפין. במסגרת
'פרויקט המוח האנושי' מפותחת באוניברסיטה ""ספיניקר"",
הפלטפורמה החישובית הנוירומורפית הגדולה בעולם,
שבנויה בהשראת פעילות המוח."
OS_MAP_P64_NAME,The Autonomous University of Madrid,جامعة مدريد المستقلة,האוניברסיטה האוטונומית של מדריד
OS_MAP_P64_CITY,"Madrid, Spain",مدريد، اسبانيا,"מדריד, ספרד"
OS_MAP_P65_NAME,Castilla-La Mancha university,جامعة كاستيلا لا مانشا,אוניברסיטת קסטיליה - לה מנשה
OS_MAP_P65_CITY,"Ciudad Real, Spain",سويداد ريال، اسبانيا,"סיודאד ריאל, ספרד"
OS_MAP_P66_NAME,Granada University,جامعة غرناطة,אוניברסיטת גרנאדה
OS_MAP_P66_CITY,"Granada, Spain",غرناطة، اسبانيا,"גרנאדה, ספרד"
OS_MAP_P66_DESC,"The Applied Computational Neuroscience lab led by
Prof. Eduardo Ros at Granada University builds
models of neural systems as the cerebellum among
others. We aim to better understand the
computational principles of these neural centers
and how they are supported by biophysical
substrate (properties of cells, network and
adaptation mechanisms).","يقوم مختبر علوم الكمبيوتر التطبيقي، برئاسة
البروفيسور إدواردو روس في جامعة غرناطة،
بتطوير نماذج من مختلف المنظومات العصبية مثل
المخيخ. نهدف إلى تحسين فهم المبادئ الحسابية
لمراكز الأعصاب هذه والطريقة الّتي يدعمها الأساس
الفيزيائي الحيّوي (خصائص الخلايا، وآليات
التكيف والشبكات).","המעבדה למדעי מוח חישוביים יישׂומיים בראשות
פרופ' אדוארדו רוֹס באוניברסיטת גרנאדה מפתחת
מודלים של מערכות עצבים שוֹנוֹת כגון המוח הקטן.
אנו שואפים להבין טוב יותר את העקרונות
החישוביים של מרכזי עצבים אלה, ואת
האופן שבּו הבסיס הביופיזי (תכונות תאים,
מנגנוני הסתגלות ורשתות) תומך בהם."
OS_MAP_P67_NAME,Minho university,جامعة مينهو,אוניברסיטת מינהו
OS_MAP_P67_CITY,"Braga, Portugal",براغا، البرتغال,"בראגה, פורטוגל"
OS_MAP_P68_NAME,The Technical University of Madrid,الجامعة التكنولوجية في مدريد,האוניברסיטה הטכנית של מדריד
OS_MAP_P68_CITY,"Madrid, Spain",مدريد، اسبانيا,"מדריד, ספרד"
OS_MAP_P68_DESC,"Technical University of Madrid (UPM) is the
largest Spanish technological university. With two
recognitions as Campus of International
Excellence, it is outstanding in its research
activity. Five research UPM groups are
participating in the project working on the fields
of Neuroscience, Data Analysis, High-Performance
Computing and Innovation.","الجامعة التكنولوجية في مدريد (UPM) هي أكبر
جامعة تكنولوجية في إسبانيا. حصلت مرتين على
التقدير كحرم جامعي دولي متميز وتبرز
في أبحاثها. تشارك خمسة فرق من الجامعة
المشاركة في المشروع في مجالات علم الأعصاب؛
تحليل البيانات؛ الابتكار والحوسبة عالية الأداء.","האוניברסיטה הטכנית של מדריד (UPM) היא האוניברסיטה
הטכנולוגית הגדולה ביותר בספרד. קיבלה
פעמיים הכרה כקמפוס מצטיין בינלאומי, ומתבלטת
בעשייתה המחקרית. חמישה צוותים מהאוניברסיטה המשתתפים
בפרויקט עוסקים בתחומי מדעי המוח;
ניתוח נתונים; חדשנוּת ומִחשוב עתיר-ביצועים."
OS_MAP_P69_NAME,The Universidad Rey Juan Carlos,جامعة الملك خوان كارلوس,אוניברסיטת המלך חואן קרלוס
OS_MAP_P69_CITY,"Madrid, Spain",مدريد، اسبانيا,"מדריד, ספרד"
OS_MAP_P69_DESC,"The role of the Universidad Rey Juan Carlos (URJC)
in the HBP is, on one hand, to develop
visualization tools that allow neuroscientists to
do visual exploratory analysis of data, both
morphological or simulation. On the other hand,
URJC is also responsible of the development of the
remote visualization backend.","يتمثل دور جامعة الملك خوان كارلوس في مشروع
الدماغ البشري في تطوير أدوات التصور الّتي تسمح
لعلماء الأعصاب بإجراء تحليل مرئي للبيانات، سواء
المورفولوجية أو المحاكاة، وكذلك تطوير
أدوات التصور عن بُعد.","תפקידה של אוניברסיטת המלך חואן קרלוס
בפרויקט המוח האנושי הוא לְפַתֵּחַ כלֵי ויזואליזציה
המאפשרים למדעני מוח לבצע ניתוח חֵקֶר חזותי של
נתונים, הן מורפולוגיים הן בהדמיה,
וכן לפתח כלים לוויזואליזציה מרחוק."
OS_MAP_P70_NAME,The University of Pavia,جامعة بافيا,אוניברסיטת פביה
OS_MAP_P70_CITY,"Pavia, Italy",بافيا، إيطاليا,"פביה, איטליה"
OS_MAP_P71_NAME,Universität Bern,جامعة بيرن,אוניברסיטת ברן
OS_MAP_P71_CITY,"Bern, Switzerland",بيرن، سويسرا,"ברן, שווייץ"
OS_MAP_P71_DESC,"In the Computational Neuroscience group at the
University of Bern we investigate the
extraordinary learning capabilities of biological
systems. Building mathematical models and computer
simulations we explore how these processes could
be organized in the central nervous system, and
how the underlying computational principles can
enhance the capabilities of biologically inspired
artificial intelligence.","تبحث مجموعة الحوسبة العصبية في جامعة برن قدرات
التعلم الاستثنائية للمنظومات البيولوجية. يبنون في
المجموعة نماذجًا رياضية ويخلقون محاكاة
محوسبة لبحث كيفية حدوث هذه العمليات في الجهاز
العصبي، ويستلهمون من العمليات الحسابية في
الدماغ لتطوير الذكاء الاصطناعي.","הקבוצה לחישוביות עצבית באוניברסיטת ברן
חוקרת את יכולות הלמידה יוצאות הדופן של
מערכות ביולוגיות. בקבוצה בונים מודלים מתמטיים
ויוצרים סימולציות ממוחשבות כדי לחקור כיצד
התהליכים הללו מתקיימים במערכת העצבים,
ושואבים השראה מתהליכי החישוב שבמוח
כדי לפתח בינה מלאכותית."
OS_MAP_P72_NAME,Universität Bielefeld,جامعة بيلفيلد,אוניברסיטת בילפילד
OS_MAP_P72_CITY,"Bielefeld, Germany",بيلفيلد ، ألمانيا,"בילפילד, גרמניה"
OS_MAP_P72_DESC,"Bielefeld University develops a modular, scalable
benchmark framework which allows scientific end
users to select the best neuromorphic hardware
system and a matching platform-agnostic network
architecture based on their specific requirements.
We are also contributing to graphical software
tools and accompanying libraries aimed at domain
experts in neuro science.","تعمل جامعة بيليفيلد على تطوير معيار مرجعي قابل
للقياس يسمح للعلماء الذين يصممون نماذج الدماغ
بإختيار الأجهزة العصبية الشكل ونوع الشبكات
الّتي تناسب إحتياجاتهم. توفر الجامعة برامج
الجرافيكه ""الرسومات"" والمكتبات المقابلة
لباحثي الدماغ.","אוניברסיטת בילפילד מפתחת שיטה מודולרית
המאפשרת למדענים שיוצרים מודלים של
המוח לבחור את החומרה הנוירומורפית ואת
סוג הרשתות המתאימים לצרכיהם. האוניברסיטה
מספקת תוכנות גרפיקה וספריות תואמות
עבור חוקרי המוח"
OS_MAP_P73_NAME,Aachen University Hospital,مستشفى جامعة آخن,בית החולים האוניברסיטאי באָאכן
OS_MAP_P73_CITY,"Aachen, Germany",آخن، ألمانيا,"אאכן, גרמניה"
OS_MAP_P73_DESC,"Aachen University Hospital combines patient care,
medical education and translational research. It
is currently involved in two tasks of HBP. In
collaboration with Jülich we intend to improve our
understanding of receptor architecture. We also
try to implement a federated database to enable
Big Data analyses of psychiatric disorders.","يجمع المستشفى الجامعي في آخن بألمانيا بين
المرضى والدراسات الطبية وأبحاث الترجمة. حاليًا،
يشارك المستشفى في اثنين من مهمات المشروع. بالتعاون
مع مركز يوليش، نعتزم تطوير فهم أفضل للهندسة
التصميمية للمُستقبلات. بالإضافة إلى ذلك، نهدف إلى
تقديم قاعدة بيانات موحدة من شأنها أن تمكن من تحليل
البيانات الضخمة (Big Data) في مجال الاضطرابات
النفسية.","בית החולים האוניברסיטאי באָאכן, גרמניה,
משלֵּב טיפול בחולים עם לימודי רפואה ומחקר תרגוּמי.
נכון לעכשיו, בית החולים משתתף בשתיים ממשׂימות
הפרויקט. בשיתוף עם מרכז יוּליך אנו מתעתדים
לְפַתֵּחַ הבנה משופרת לגבי אדריכלות קוֹלטנים.
כמו כן אנו שואפים להכניס לפעולה בסיס נתונים
מאוחד שיאפשר ניתוח נתוני עָתֵק (Big Data)
בתחום ההפרעות הפסיכיאטריות."
OS_MAP_P74_NAME,University Hospital Hamburg-Eppendorf,مستشفى جامعة هامبورغ - إيبندورف,בית החולים האוניברסיטאי המבורג-אפנדורף
OS_MAP_P74_CITY,"Hamburg, Germany",هامبورغ، ألمانيا,"המבורג, גרמניה"
OS_MAP_P75_NAME,University of Zurich,جامعة زيورخ,אוניברסיטת ציריך
OS_MAP_P75_CITY,"Zürich, Switzerland",زيوريخ، سويسرا,"ציריך, שווייץ"
OS_MAP_P76_NAME,University of Barcelona,جامعة برشلونة,אוניברסיטת ברצלונה
OS_MAP_P76_CITY,"Barcelona, Spain",برشلونة، اسبانيا,"ברצלונה, ספרד"
OS_MAP_P77_NAME,Pompeu Fabra University,جامعة بومبيو فابرا,אוניברסיטת פּומפּאו פאבּרה
OS_MAP_P77_CITY,"Barcelona, Spain",برشلونة، اسبانيا,"ברצלונה, ספרד"
OS_MAP_P77_DESC,"Universitat Pompeu Fabra (UPF) Center for Brain
and Cognition, PI: Gustavo Deco. UPF leads work
package 4.4 “Models of Brain Activity and
Function”. UPF participates in work package 4.5
“Linking Model Activity And  Function To
Experimental Data” and builds whole-brain network
models for individuals that mimic pathologies
including epilepsy.","يرأس مركز الدماغ والإدراك في جامعة بومبيو
فابرا، تحت إشراف البروفيسور غوستافو ديكو،
وحدة العمل "" نماذج نشاط الدماغ ووظيفته"".
يشارك المركز أيضًا في وحدة ""ربط نشاط النماذج وأدائهم
بالبيانات التجريبية"" ويطور نماذج للشبكات العصبية
في الدماغ بأكمله عند الأفراد، من أجل
تشخيص أمراض مثل الصرع.","המרכז למוח ולקוגניציה של אוניברסיטת פּומפּאו
פאבּרה, בניהול פרופ' גוסטאבו דֶּקוֹ, עומד בראש יחידת
העבודה ""מוֹדלים של פעילוּת המוח ותפקודו"".
כמו כן המרכז משתתף ביחידה ""קישור פעילוּת
מוֹדלים ותפקודם לנתוני ניסויים"", וּמְפַתֵּחַ מודלים
של רשתות הֶקְשֵׁרִים בכל המוח אצל יחידים,
במטרה לחקוֹת מחלות כגון מחלת הנפילה (אפילפסיה)."
OS_MAP_P78_NAME,University of Aix Marseille,جامعة اكس-مارسيليا,אוניברסיטת אקס-מרסיי
OS_MAP_P78_CITY,"Marseille, France",مارسيليا، فرنسا,"מרסיי, צרפת"
OS_MAP_P78_DESC,"Institut de Neurosciences des Systèmes (INS) in
the University is a multidisciplinary research
institute focused on understanding the complex
dynamics of the brain. Within HBP, INS works on
demonstrating the predictive value of large-scale
brain network models, in particular for the
individualized epileptic activity and for the
impaired connectivity, and on building a
multi-scale brain atlas.","معهد علوم الدماغ النظامية (INS) في الجامعة
هو معهد أبحاث متعدد التخصصات يركز على فهم
الديناميات المعقدة للدماغ. الغرض من مشروع
الدماغ البشري هو إظهار قيمة النماذج واسعة
النطاق للشبكات العصبية في الدماغ كأداة تنبؤية،
خاصةً عندما يتعلق الأمر بنشاط الصرع الفردي والعلاقات
الشخصية الضعيفة؛ كما أنه يطور أطلس الدماغ على
العديد من المقاييس.","המכון למדעי מוח מערכתיים (INS) באוניברסיטה
הוא מכון מחקר רב-תחומי המתמקד בהבנת
הדינמיקה המורכבת של המוח. במסגרת פרויקט
המוח האנושי מטרתו להדגים את ערכּם של
מודלים בקנה מידה גדול של רשתות עצביות במוח
ככלי לחיזוי, בפרט כשמדובר בפעילות אפילפטית
אינדבידואלית ובחיבּוּריוּת לקויה; כמו כן הוא
מְפַתֵּחַ אטלס מוח בקני מידה רבּים."
OS_MAP_P79_NAME,University of Bordeaux,جامعة بوردو,אוניברסיטת בורדו
OS_MAP_P79_CITY,"Bordeaux, France",بوردو، فرنسا,"בורדו, צרפת"
OS_MAP_P80_NAME,Antwerp University,جامعة أنتويرب,אוניברסיטת אנטוורפן
OS_MAP_P80_CITY,"Antwerp, Belgium",أنتويرب، بلجيكا,"אנטוורפן, בלגיה"
OS_MAP_P80_DESC,"At Antwerp University, we study cortical function
combining technological, experimental and
theoretical approaches, ranging from arrays of
microelectrodes to patch-clamp and from the micro-
and nanotechnologies for to the computer
simulation of neuron models. We lead in HBP the
task on Input-Output Transfer function.","في جامعة أنتويرب، ندرس الوظيفة القشرية في
منهج متكامل - التكنولوجي والتجريبي والنظري - باستخدام
مجموعة متنوعة من الأدوات، من صفائف الإلكترود
الجزئي إلى الأنظمة القائمة على تقنيات تثبيت المشبك، ومن
التقنيات الدقيقة والنانوية إلى المحاكاة الحاسوبية
لنماذج الخلايا العصبية. في مشروع الدماغ البشري،
يتم تنفيذ مهمة تتناول وظيفة نقل إستقبال- إخراج.","באוניברסיטת אנטוורפן אנו חוקרים את תפקוד
קליפת המוח בגישה משולבת – טכנולוגית,
ניסויית ותיאורטית – תוך שימוש במגוון כלים,
ממערכים של מיקרוֹ-אלקטרודות עד מערכות המבוססות
על שיטות קיבוע מֶתַח בתא שלם (patch-clamp), וממיקרו
ונאנו-טכנולוגיות עד הדמיוֹת מחשב של מודלֵי נוירונים.
בפרויקט המוח האנושי מובילים משימה העוסקת
בפונקציית תִּמְסֹרֶת קֶלֶט-פֶּלֶט."
OS_MAP_P81_NAME,University of Oslo,جامعة أوسلو,אוניברסיטת אוסלו
OS_MAP_P81_CITY,"Oslo, Norway",أوسلو، النرويج,"אוסלו, נורבגיה"
OS_MAP_P82_NAME,University College London,كلية لندن الجامعية,אוניברסיטת קולג' לונדון
OS_MAP_P82_CITY,"London, United Kingdom",لندن، المملكة المتحدة,"לונדון, בריטניה"
OS_MAP_P82_DESC,"University College London (UCL) is London’s
leading multidisciplinary university and is the
top university in the United Kingdom for research
strength. UCL contribution to SP6 is to provide
correlated electrophysiological and anatomical
data from hippocampal neurones for the generation
of a data-driven model of the hippocampus.","كلية لندن الجامعية (UCL) هي معهد أبحاث
متعدد التخصصات الرائد في لندن على وجه
الخصوص وفي المملكة المتحدة بشكلٍ عام.
كـجزء من ""مشروع الدماغ البشري""، يبحث الباحثون
في الجامعة عن الروابط بين النشاط الكهربائي
للخلايا في الحصين ""الهيبوكامبوس"" في الدماغ وبين
المعلومات التشريحية حول بنيتها،
وذلك من أجل إنشاء نموذج كمبيوتر يعتمد
على المعلومات من الحصين.","האוניברסיטה היא מוסד המחקר הרב תחומי
המוביל בלונדון בפרט ובבריטניה בכלל.
במסגרת 'פרויקט המוח האנושי', חוקרים באוניברסיטה
מחפשים קשרים בין הפעילות החשמלית של התאים
בהיפוקמפוס שבמוח למידע אנטומי על המבנה
שלהם, זאת במטרה ליצור מודל ממוחשב
מבוסס מידע של ההיפוקמפוס."
OS_MAP_P83_NAME,Uppsala University,جامعة اوبسلا,אוניברסיטת אופּסלָה
OS_MAP_P83_CITY,"Uppsala, Sweden",اوبسلا، سويد,"אופסלה, שבדיה"
OS_MAP_P83_DESC,"Uppsala University is part of the HBP through its
Neuro-ethics and Philosophy Group in the Centre
for Research Ethics and Bioethics. This group, led
by Professor Kathinka Evers –director of the
Subproject “Ethics & Society”- carries out
conceptual and philosophical analyses of
theoretical and practical issues raised by
neuroscience, ICT and applications.","تشارك جامعة أوبسلا في مشروع العقل البشري من
خلال مجموعة أخلاقيات وفلسفة مركز أخلاقيات
البيولوجيا وأخلاقيات البيولوجيا في مجال
البحوث. هذه المجموعة، الّتي يرأسها البروفيسور
كاتينكا إيفرز، مديرة مشروع ثانوي ""الأخلاقيات والمجتمع""،
تتناول التحليل النظري والفلسفي للقضايا النظرية
والعملية الناشئة في مجالات علم الأعصاب وتكنولوجيا
المعلومات والاتصالات وتطبيقاتها.","אוניברסיטת אופּסלָה מעורבת בפרויקט המוח האנושי
באמצעות קבוצת הנוֹירוֹ-אתיקה והפילוסופיה של
המרכז לאתיקה וביוֹ-אתיקה במחקר. קבוצה זו,
בראשות פרופ' קתינקה אֶוורס, מנהלת פרויקט
הַמִּשְׁנֶה ""אתיקה וחברה"", עוסקת בניתוח רעיוני ופילוסופי של סוגיות
תיאורטיות ומעשׂיות המתעוררות בתחומי מדעי המוח,
טכנולוגיות המידע והתקשורת, ויישׂומיהן."
OS_MAP_P84_NAME,The Weizmann Institute of Science,معهد وايزمان للعلوم,מכון ויצמן למדע
OS_MAP_P84_CITY,"Rehovot, Israel",رحوفوت، اسرائيل,"רחובות, ישראל"
OS_MAP_P84_DESC,"The Weizmann Institute of Science is one of the
world's top-ranking multidisciplinary research
institutes that explore the natural and exact
sciences. The Institute’s involvement in HBP is in
modeling visual system functional and circuit
models, with applications to cognition and
neuro-robotics; and in generating mathematical
models of memory to better understand human
cognition.","يُعتبر معهد وايزمان للعلوم واحداً من أفضل المؤسسات
البحثية متعددة التخصصات في العالم، وهو متخصص في
العلوم الطبيعية والعلوم الدقيقة. تنعكس مشاركته
في مشروع الدماغ البشري في تطوير نماذج وظيفية ودائرية
للنظام البصري، مع التركيز على التطبيقات في الروبوتات
المعرفية والروبوتية العصبية، وكذلك إنشاء نماذج رياضية
للذاكرة من أجل فهم أفضل للإدراك البشري.","מכון ויצמן למדע נחשב לאחד ממוסדות המחקר
הרב-תחומיים הטובים בעולם, ועוסק במדעי
הטבע ובמדעים מדויקים. מעורבותו בפרויקט המוח
האנושי מתבטאת בפיתוח מודלים תפקודיים ומעגליים
של מערכת הראייה, בדגש על יישׂומים בתחומי הקוגניציה
והנוירו-רובוטיקה, וכן ביצירת מודלים מתמטיים של זיכרון
במטרה להבין טוב יותר את הקוגניציה האנושית."
OS_MAP_P85_NAME,Technische Universität Darmstadt,الجامعة التقنية دارمشتادت,האוניברסיטה הטכנית דארמשטאדט
OS_MAP_P85_CITY,"Darmstadt, Germany",دارمشتادت، ألمانيا,"דארמשטאדט, גרמניה"
OS_MAP_P85_DESC,"The Laboratory for Parallel Programming belongs to
the Department of Computer Science at Technische
Universität Darmstadt in Germany. We are working
on methods that make data-intensive brain analyses
run faster and on algorithms that help better
understand how individual neurons connect to each
other.","مختبر برمجة موازية هو جزء من قسم علوم الكمبيوتر
في الجامعة التقنية في دارمشتات، في ألمانيا.
نحن نعمل على تطوير طرق لتسريع تحليلات خوارزمية
مكثفة للبيانات لتحسين فهمنا للعلاقات بين
الخلايا العصبية الفردية.","המעבדה לתכנוּת מַקְבִּילִי היא חלק מהמחלקה למדעי
המחשב באוניברסיטה הטכנית דארמשטאדט שבגרמניה.
אנו מפתחים שיטות לזירוז אנליזות מוח עתירות-נתונים
וכן אלגוריתמים במטרה לשפר את הבנתנו לגבי
חיבורים של נוירונים יחידים זה לזה."
OS_MAP_P86_NAME,University of Geneva,جامعة جنيف,אוניברסיטת ג'נבה
OS_MAP_P86_CITY,"Geneva, Switzerland",جنيف، سويسرا,"ג'נבה, שווייץ"
OS_MAP_P87_NAME,University of Glasgow,جامعة غلاسكو,אוניברסיטת גלאזגו
OS_MAP_P87_CITY,"Glasgow, United Kingdom",غلاسكو، المملكة المتحدة,"גלאזגו, בריטניה"
OS_MAP_P89_NAME,University of Hamburg,جامعة هامبورغ,אוניברסיטת המבורג
OS_MAP_P89_CITY,"Hamburg, Germany",هامبورغ، ألمانيا,"המבורג, גרמניה"
OS_MAP_P90_NAME,Humboldt University of Berlin,جامعة هومبولت في برلين,אוניברסיטת הומבולדט בברלין
OS_MAP_P90_CITY,"Berlin, Germany",برلين ، ألمانيا,"ברלין, גרמניה"
OS_MAP_P91_NAME,"The Royal Netherlands Academy
of Arts and Sciences","الأكاديمية الملكية الهولندية
للفنون والعلوم","האקדמיה המלכותית
של הולנד לאמנויות ולמדעים"
OS_MAP_P91_CITY,"Amsterdam, The Netherlands",أمستردام، هولندا,"אמסטרדם, הולנד"
OS_MAP_P92_NAME,The National Institute of Nuclear Physics,المعهد الوطني للفيزياء النووية,המכון הלאומי לפיסיקה גרעינית
OS_MAP_P92_CITY,"Rome, Italy",روما، إيطاليا,"רומא, איטליה"
OS_MAP_P93_NAME,August Pi i Sunyer Biomedical Research Institute,معهد أغسطس بيس ونير للأبحاث الطبية الحيوية,מכון אוגוסט פייס ונייר למחקר ביו – רפואי
OS_MAP_P93_CITY,"Barcelona, Spain",برشلونة، اسبانيا,"ברצלונה, ספרד"
OS_MAP_P94_NAME,University of Milan,جامعة ميلانو,אוניברסיטת מילאנו
OS_MAP_P94_CITY,"Milan, Italy",ميلانو، ايطاليا,"מילאנו, איטליה"
OS_MAP_P94_DESC,"Dr. Massimini’s research group is located at the
University of Milan and focuses on the
neurophysiological factors supporting complex
interactions within the human brain and their role
for the fading and recovery of consciousness
across brain states (sleep, anesthesia and brain
lesions) through invasive and non-invasive
techniques across different spatial scales.","تعمل المجموعة البحثية للدكتور ماسيميني في جامعة
ميلانو وتركز على العوامل الفيزيولوجية
العصبية الّتي تدعم التفاعلات المعقدة في
الدماغ البشري والدور الذي تلعبه في
تدهور وصحة الوعي في مجموعة متنوعة من حالات
الدماغ (النوم والتخدير وإصابات دماغية). وقد تم إجراء
البحث باستخدام تقنيات غازية وغير غازية
وبمقاييس مكانية مختلفة.","קבוצת המחקר של ד""ר מאסימיני פועלת באוניברסיטת
מילאנו ומתמקדת בגורמים נוירו-פיזיולוגיים התומכים
באינטראקציות מורכבוֹת במוח האנושי, ובתפקיד
שהם ממלאים בדעיכה והתעוררות של ההכרה במגוון
מצבים מוחיים (שֵׁנָה, הרדמה ופגיעוֹת מוֹחיוֹת).
המחקר נעשה בטכניקות פולשניות ובלתי פולשניות
ובקני מידה מרחביים שונים."
OS_MAP_P95_NAME,Institute for Bioengineering of Catalonia,المعهد الكاتالاني للهندسة الحيوية,המכון הקטלוני לביו-הנדסה
OS_MAP_P95_CITY,"Barcelona, Spain",برشلونة، اسبانيا,"ברצלונה, ספרד"
OS_MAP_P96_NAME,National Institute of Health,المعهد الوطني للصحة,המכון הלאומי לבריאות
OS_MAP_P96_CITY,"Rome, Italy",روما، إيطاليا,"רומא, איטליה"
OS_MAP_P97_NAME,University of Liège,جامعة لياج,אוניברסיטת לייז'
OS_MAP_P97_CITY,"Liège, Belgium",لياج، بلجيكا,"לייז', בלגיה"
